depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
91,91.689.030,39485598500047,SOCIETE COOPERATIVE APPROVISIONNEMENT - SCAPMAREE,ZAC DU VAULORIN 5 RUE MARCELIN BERTHELOT ZAC DU VAULORIN,91320,WISSOUS,CS,,
91,91.689.031,81905485900106,OLANO LOGISTIQUE,AV JEANNE GARNERIN,91320,WISSOUS,CS,,
91,91.689.033,44204714800055,C.FROID,(7-9) 7 AV JEANNE GARNERIN (7-9),91320,WISSOUS,CS,,
92,92.002.005,45241356000015,DISPRO FRANCE,"34 AV LEON JOUHAUX ",92160,ANTONY,CS,,
92,92.012.008,40103136400029,BYZANCE - BELLOTA-BELLOTA,"27 RUE YVES KERMEN ",92100,BOULOGNE-BILLANCOURT,CS,,
92,92.023.004,80868800600010,TRIBOLET SAS,"26 RUE DES CARNETS ",92140,CLAMART,CS,I(CP),
92,92.025.011,35041051000027,ARCADYS - ARCADY'S,BATIMENT A 103 ARMSTRONG 165 BD DE VALMY CENTRE AFFAIRE SILIC BAT 103 ARMSTRONG,92700,COLOMBES,CS,VIII(FFPP),
92,92.026.004,38301704300027,SOC D EXPLOITATION THOMAS TRAITEUR,10 RUE LATERALE 10-13,92400,COURBEVOIE,CS,RC(CUISCEN);VI(PP);X(PP),
92,92.036.001,60203279900044,SOCIETE BARDET LE GRAND LARGE,"3 AV DENIS PAPIN ",92230,GENNEVILLIERS,CS,VIII(FFPP),
92,92.036.004,42141580300145,DOMINO'S PIZZA FRANCE,4 RUE OLYMPE DE GOUGES REZ DE CHAUSSEE,92230,GENNEVILLIERS,CS,,
92,92.036.022,40888093800027,JFC FRANCE,PERIPARK GENNEVILLIERS BATIMENT C 101 AV LOUIS ROCHE PERIPARK GENNEVILLIERS BATIMENT C,92230,GENNEVILLIERS,CS,,
